"geoid","totpopraceeth","WNH","BNH","aianNH","asianNH","nhopiNH","hispanic","totpoprace","W","B","totpopraceinc","NHW100_125","NHW125_150","NHW150_200","NHW200up","Bund10","B10_15","B15_20","totpoppov","belowpov","inc100_125","inc125_150","inc150_200","inc200up","incund10","inc10_15","inc15_20","ICErace","ICEraceinc","percWNH","percBNH","perc_hispanic","perc_asianNH","perc_aianNH","perc_nhopiNH","percpov","ICEinc"
"25017359100",6329,5039,234,0,577,0,294,6329,5287,234,2304,233,75,267,326,0,0,0,5925,335,233,89,347,458,33,78,80,0.759203665665982,0.391059027777778,0.796176331173961,0.0369726655079791,0.0464528361510507,0.0911676410175383,0,0,0.0565400843881857,0.40625
"25017365100",7690,6698,0,0,698,0,80,7690,6763,0,2362,212,125,265,981,0,0,0,7690,56,266,151,316,1086,0,12,28,0.871001300390117,0.670194750211685,0.871001300390117,0,0.0104031209362809,0.0907672301690507,0,0,0.00728218465539662,0.753175275190517
"25017367200",7565,6080,252,0,708,0,274,7565,6303,258,2390,153,120,177,977,0,0,0,6876,171,221,172,199,1120,55,37,9,0.770389953734303,0.597071129707113,0.803701255783212,0.0333113020489095,0.0362194315928619,0.0935888962326504,0,0,0.024869109947644,0.674058577405858
"25017373900",7164,5629,0,0,1263,0,235,7164,5864,0,2795,204,134,303,759,0,0,0,7110,280,255,152,352,975,92,25,58,0.785734226689001,0.500894454382826,0.785734226689001,0,0.0328029034059185,0.176298157453936,0,0,0.0393811533052039,0.55778175313059
"25017382100",4976,4434,15,0,294,0,134,4976,4568,15,1800,162,118,208,332,0,0,0,4835,138,213,138,229,353,53,30,29,0.88806270096463,0.455555555555556,0.891077170418006,0.00301446945337621,0.0269292604501608,0.0590836012861736,0,0,0.0285418821096174,0.456111111111111
"25017382200",5164,4218,235,38,445,0,204,5164,4392,235,1956,300,281,196,155,0,0,0,5154,101,360,281,220,221,30,17,13,0.771301316808675,0.476482617586912,0.816808675445391,0.0455073586367157,0.0395042602633617,0.0861735089078234,0.00735863671572424,0,0.0195964299573147,0.522494887525562
"25017382500",4445,3625,403,0,277,0,91,4445,3711,403,1810,205,154,182,213,0,0,0,4360,127,229,168,212,213,30,22,60,0.724859392575928,0.416574585635359,0.815523059617548,0.0906636670416198,0.0204724409448819,0.0623172103487064,0,0,0.0291284403669725,0.392265193370166
"25017383501",4652,2813,300,0,1063,0,384,4652,2978,341,2092,49,135,163,14,8,47,22,4652,507,143,200,221,54,294,271,131,0.540197764402408,0.135755258126195,0.604686156491831,0.0644883920894239,0.0825451418744626,0.228503869303525,0,0,0.108985382631126,-0.0372848948374761
"25017338500",5680,5168,20,0,210,0,158,5680,5278,20,1904,141,92,262,656,0,0,0,5680,175,161,111,279,689,88,30,43,0.906338028169014,0.604516806722689,0.909859154929577,0.00352112676056338,0.0278169014084507,0.0369718309859155,0,0,0.0308098591549296,0.566701680672269
"25017341600",6817,4134,551,32,1286,0,372,6817,4340,628,2575,238,200,9,69,52,44,0,6774,915,322,230,52,69,181,176,161,0.525597770280182,0.163106796116505,0.606425113686372,0.0808273434061904,0.0545694587061757,0.188646031978876,0.00469414698547748,0,0.135075287865368,0.0601941747572816
"25017341700",5195,2908,433,23,839,0,388,5195,3284,433,2052,132,161,11,53,0,0,0,5195,434,258,278,47,81,176,63,140,0.476419634263715,0.173976608187135,0.559769008662175,0.0833493743984601,0.0746871992300289,0.161501443695861,0.00442733397497594,0,0.0835418671799807,0.138888888888889
"25009206000",3129,730,504,0,474,0,1332,3129,1175,595,1088,23,29,0,0,14,10,12,3129,918,73,29,2,0,112,122,66,0.0722275487376158,0.0147058823529412,0.233301374240972,0.161073825503356,0.425695110258869,0.151486097794823,0,0,0.293384467881112,-0.180147058823529
"25009206300",3745,1289,544,0,244,0,1569,3745,2141,711,1175,42,22,12,27,25,0,0,3745,874,74,52,40,27,130,148,38,0.198931909212283,0.0663829787234042,0.344192256341789,0.145260347129506,0.418958611481976,0.0651535380507343,0,0,0.233377837116155,-0.10468085106383
